G5980.1	SAMN03254271
G5981.1	SAMN03254272
G5982.1	SAMN03254273
G5983.1	SAMN03254274
G5985.1	SAMN03254275
G5988.1	SAMN03254277
G5992.1	SAMN03254278
G5996.1	SAMN03254279
G5997.1	SAMN03254280
G5998.1	SAMN03254281
G5999.1	SAMN03254282
G6001.1	SAMN03254283
G6002.1	SAMN03254284
G6012.1	SAMN03254285
G6013.1	SAMN03254286
G6014.1	SAMN03254287
G6020.1	SAMN03254288
G6050.1	SAMN03254289
G6060.1	SAMN03254290
G6062.1	SAMN03254291
G6063.1	SAMN03254292
G6068.1	SAMN03254293
G6069.1	SAMN03254294
G6089.1	SAMN03254295
G6091.1	SAMN03254296
G6094.1	SAMN03254297
G6095.1	SAMN03254298
G6103.1	SAMN03254299
G6104.1	SAMN03254300
MSF035.0	SAMN03254301
MSF376.0	SAMN03254302
MSF380.0	SAMN03254303
SLBO0365.0	SAMN03254304
SLBO0366.0	SAMN03254305
SLBO0367.0	SAMN03254306
SLBO0368.0	SAMN03254307
SLBO0369.0	SAMN03254308
SLBO0370.0	SAMN03254309
SLBOO0368.0	SAMN03254310
SLBOO0373.0	SAMN03254311
SLBOO0375.0	SAMN03254312
SLBOO0385.0	SAMN03254313
SLBOO0386.0	SAMN03254314
SLBOO0387.0	SAMN03254315
SLKEN0008.0	SAMN03254316
SLKEN0009.0	SAMN03254317
SLKEN0016.0	SAMN03254318
SLKEN0017.0	SAMN03254319
SLKEN0025.0	SAMN03254320
SLKEN0029.0	SAMN03254321
